"name","date","time","latitude","lat_deg","longitude","lon_deg","press","wind"
"ANJA","2009-11-13","06:00:00",-9.5,"N",72.5,"E",1006,0
"ANJA","2009-11-13","12:00:00",-10.2,"N",71.9,"E",1004,0
"ANJA","2009-11-13","18:00:00",-11.1,"N",71.4,"E",1002,25
"ANJA","2009-11-14","00:00:00",-11.9,"N",71.1,"E",999,28
"ANJA","2009-11-14","06:00:00",-12.5,"N",70.9,"E",996,33
"ANJA","2009-11-14","12:00:00",-12.8,"N",70.7,"E",992,40
"ANJA","2009-11-14","18:00:00",-12.9,"N",70.6,"E",985,50
"ANJA","2009-11-15","00:00:00",-12.9,"N",70.5,"E",975,60
"ANJA","2009-11-15","06:00:00",-13,"N",70.2,"E",960,80
"ANJA","2009-11-15","12:00:00",-13.1,"N",69.9,"E",950,90
"ANJA","2009-11-15","18:00:00",-13.2,"N",69.4,"E",955,85
"ANJA","2009-11-16","00:00:00",-13.5,"N",69.1,"E",955,85
"ANJA","2009-11-16","06:00:00",-14.1,"N",68.9,"E",955,85
"ANJA","2009-11-16","12:00:00",-14.8,"N",68.3,"E",950,90
"ANJA","2009-11-16","18:00:00",-15.6,"N",67.7,"E",955,85
"ANJA","2009-11-17","00:00:00",-16.4,"N",67.3,"E",955,85
"ANJA","2009-11-17","06:00:00",-17.3,"N",66.9,"E",960,80
"ANJA","2009-11-17","12:00:00",-18.4,"N",66.6,"E",972,65
"ANJA","2009-11-17","18:00:00",-19.7,"N",66.8,"E",980,55
"ANJA","2009-11-18","00:00:00",-20.9,"N",66.3,"E",989,45
"ANJA","2009-11-18","06:00:00",-21.7,"N",66.4,"E",999,30
"ANJA","2009-11-18","12:00:00",-22.8,"N",67.1,"E",1003,25
"ANJA","2009-11-18","18:00:00",-24.2,"N",68.4,"E",1004,0
"ANJA","2009-11-19","00:00:00",-25.9,"N",70.3,"E",1005,0
"ANJA","2009-11-19","06:00:00",-28.1,"N",72.9,"E",1006,0
"ANJA","2009-11-19","12:00:00",-29.6,"N",75.2,"E",1007,0
"ANJA","2009-11-19","18:00:00",-30.8,"N",76.9,"E",1009,0
"ANJA","2009-11-20","00:00:00",-31.9,"N",78.5,"E",1010,0
"BONGANI","2009-11-20","12:00:00",-11.6,"N",66.1,"E",1011,15
"BONGANI","2009-11-20","18:00:00",-11.3,"N",64.9,"E",1011,15
"BONGANI","2009-11-21","00:00:00",-11.1,"N",63.7,"E",1010,20
"BONGANI","2009-11-21","06:00:00",-10.9,"N",62.9,"E",1010,20
"BONGANI","2009-11-21","12:00:00",-10.5,"N",61.5,"E",1009,23
"BONGANI","2009-11-21","18:00:00",-10.1,"N",59.8,"E",1009,23
"BONGANI","2009-11-22","00:00:00",-9.8,"N",57.9,"E",1007,25
"BONGANI","2009-11-22","06:00:00",-9.3,"N",56.4,"E",1007,25
"BONGANI","2009-11-22","12:00:00",-8.8,"N",55.7,"E",1006,25
"BONGANI","2009-11-22","18:00:00",-8.4,"N",54.9,"E",1002,30
"BONGANI","2009-11-23","00:00:00",-8.3,"N",54.3,"E",999,35
"BONGANI","2009-11-23","06:00:00",-8.4,"N",53.9,"E",996,40
